"address_id","address","address2","district","city_id","postal_code","phone","last_update"
"1","47 MySakila Drive","null"," ","300","null"," ","2021-03-06 15:51:54"
"2","28 MySQL Boulevard","null"," ","576","null"," ","2021-03-06 15:51:54"
"3","23 Workhaven Lane","null"," ","300","null"," ","2021-03-06 15:51:54"
"4","1411 Lillydale Drive","null"," ","576","null"," ","2021-03-06 15:51:54"
"5","1913 Hanoi Way","null"," ","463","35200"," ","2021-03-06 15:51:54"
"6","1121 Loja Avenue","null"," ","449","17886"," ","2021-03-06 15:51:54"
"7","692 Joliet Street","null"," ","38","83579"," ","2021-03-06 15:51:54"
"8","1566 Inegl Manor","null"," ","349","53561"," ","2021-03-06 15:51:54"
"9","53 Idfu Parkway","null"," ","361","42399"," ","2021-03-06 15:51:54"
"10","1795 Santiago de Compostela Way","null"," ","295","18743"," ","2021-03-06 15:51:54"
"11","900 Santiago de Compostela Parkway","null"," ","280","93896"," ","2021-03-06 15:51:54"
"12","478 Joliet Way","null"," ","200","77948"," ","2021-03-06 15:51:54"
"13","613 Korolev Drive","null"," ","329","45844"," ","2021-03-06 15:51:54"
"14","1531 Sal Drive","null"," ","162","53628"," ","2021-03-06 15:51:54"
"15","1542 Tarlac Parkway","null"," ","440","1027"," ","2021-03-06 15:51:54"
"16","808 Bhopal Manor","null"," ","582","10672"," ","2021-03-06 15:51:54"
"17","270 Amroha Parkway","null"," ","384","29610"," ","2021-03-06 15:51:54"
"18","770 Bydgoszcz Avenue","null"," ","120","16266"," ","2021-03-06 15:51:54"
"19","419 Iligan Lane","null"," ","76","72878"," ","2021-03-06 15:51:54"
"20","360 Toulouse Parkway","null"," ","495","54308"," ","2021-03-06 15:51:54"
"21","270 Toulon Boulevard","null"," ","156","81766"," ","2021-03-06 15:51:54"
"22","320 Brest Avenue","null"," ","252","43331"," ","2021-03-06 15:51:54"
"23","1417 Lancaster Avenue","null"," ","267","72192"," ","2021-03-06 15:51:54"
"24","1688 Okara Way","null"," ","327","21954"," ","2021-03-06 15:51:54"
"25","262 A Corua (La Corua) Parkway","null"," ","525","34418"," ","2021-03-06 15:51:54"
"26","28 Charlotte Amalie Street","null"," ","443","37551"," ","2021-03-06 15:51:54"
"27","1780 Hino Boulevard","null"," ","303","7716"," ","2021-03-06 15:51:54"
"28","96 Tafuna Way","null"," ","128","99865"," ","2021-03-06 15:51:54"
"29","934 San Felipe de Puerto Plata Street","null"," ","472","99780"," ","2021-03-06 15:51:54"
"30","18 Duisburg Boulevard","null"," ","121","58327"," ","2021-03-06 15:51:54"
"31","217 Botshabelo Place","null"," ","138","49521"," ","2021-03-06 15:51:54"
"32","1425 Shikarpur Manor","null"," ","346","65599"," ","2021-03-06 15:51:54"
"33","786 Aurora Avenue","null"," ","474","65750"," ","2021-03-06 15:51:54"
"34","1668 Anpolis Street","null"," ","316","50199"," ","2021-03-06 15:51:54"
"35","33 Gorontalo Way","null"," ","257","30348"," ","2021-03-06 15:51:54"
"36","176 Mandaluyong Place","null"," ","239","65213"," ","2021-03-06 15:51:54"
"37","127 Purnea (Purnia) Manor","null"," ","17","79388"," ","2021-03-06 15:51:54"
"38","61 Tama Street","null"," ","284","94065"," ","2021-03-06 15:51:54"
"39","391 Callao Drive","null"," ","544","34021"," ","2021-03-06 15:51:54"
"40","334 Munger (Monghyr) Lane","null"," ","31","38145"," ","2021-03-06 15:51:54"
"41","1440 Fukuyama Loop","null"," ","362","47929"," ","2021-03-06 15:51:54"
"42","269 Cam Ranh Parkway","null"," ","115","34689"," ","2021-03-06 15:51:54"
"43","306 Antofagasta Place","null"," ","569","3989"," ","2021-03-06 15:51:54"
"44","671 Graz Street","null"," ","353","94399"," ","2021-03-06 15:51:54"
"45","42 Brindisi Place","null"," ","586","16744"," ","2021-03-06 15:51:54"
"46","1632 Bislig Avenue","null"," ","394","61117"," ","2021-03-06 15:51:54"
"47","1447 Imus Way","null"," ","167","48942"," ","2021-03-06 15:51:54"
"48","1998 Halifax Drive","null"," ","308","76022"," ","2021-03-06 15:51:54"
"49","1718 Valencia Street","null"," ","27","37359"," ","2021-03-06 15:51:54"
"50","46 Pjatigorsk Lane","null"," ","343","23616"," ","2021-03-06 15:51:54"
"51","686 Garland Manor","null"," ","247","52535"," ","2021-03-06 15:51:54"
"52","909 Garland Manor","null"," ","367","69367"," ","2021-03-06 15:51:54"
"53","725 Isesaki Place","null"," ","237","74428"," ","2021-03-06 15:51:54"
"54","115 Hidalgo Parkway","null"," ","379","80168"," ","2021-03-06 15:51:54"
